id;additional_receipts;client;name;description;payment_type;type;vat_code
1;Generic Steel Tuna;53676;Assistant;South Dakota monetize Principal;virtual wireless Computer;Legacy Dynamic magenta;THX actuating
2;deposit Division Rustic Steel Soap;66812;networks infomediaries;partnerships throughput;Union transmitting;New Zealand;Bedfordshire
3;Credit Card Account;51217;intranet;Ball Australian Dollar;Bike;digital;Oklahoma
4;aggregate throughput Practical;94963;Identity Vermont indigo;JSON;New Mexico Implementation Steel;Shirt intangible;Prairie
5;Rubber CSS;96920;De-engineered;Tunnel;Ergonomic Concrete Ball SMS;Gorgeous Rubber Cheese quantifying;cross-platform
6;multi-byte online Forward;30021;Stand-alone Computer efficient;Buckinghamshire;Practical AGP Implementation;wireless navigate grey;solution Automotive
7;e-commerce Ergonomic Concrete Salad;26246;Unbranded Steel Computer;Plastic convergence;back-end Automotive internet solution;Zimbabwe Small Wooden Chicken Balboa US Dollar;Mobility multi-byte Incredible Steel Soap
8;IB;90897;Algeria Executive;Down-sized;Gorgeous Fresh Pants optical Practical;Solutions interactive International;Square Home Loan Account Practical Frozen Shirt
9;Sausages capacity;64290;e-services CFA Franc BCEAO Practical;Ball B2C mobile;Sleek Gateway program;invoice index Borders;Pula
10;copying;14752;synthesizing deposit global;Paradigm;Computers Home Loan Account;Brunei Dollar Electronics;turquoise Engineer
